Sample Date	Southern	Northern
2020-3-9	None	None
2020-3-10	None	None
2020-3-11	None	30.46497816556916
2020-3-12	30.88126624605307	31.763348426260315
2020-3-13	30.88126624605307	31.763348426260315
2020-3-14	26.20000175704613	30.747780755305985
2020-3-15	28.36964999208066	33.66852764286316
2020-3-16	29.09358936440199	32.39259673394593
2020-3-17	34.518428547346964	42.63631429645157
2020-3-18	39.05197117007511	40.10170592053729
2020-3-19	37.305989077276266	42.21613251226323
2020-3-20	37.305989077276266	42.21613251226323
2020-3-21	44.18860322086951	46.163781887258
2020-3-22	45.59022028844001	44.59721698434403
2020-3-23	66.11978301222274	89.91283641987089
2020-3-24	56.49455660613312	128.0631870486688
2020-3-25	43.65921309630123	192.1342940545894
2020-3-26	117.46052695515331	181.47717944848335
2020-3-27	86.15662695011261	200.5357720134783
2020-3-28	86.15662695011261	200.5357720134783
2020-3-29	86.15662695011261	200.5357720134783
2020-3-30	64.5490614374795	179.6072891090532
2020-3-31	64.5490614374795	155.33835054359912
2020-4-1	95.37699332458969	186.62438086951283
2020-4-2	60.70031275085454	314.48719789023596
2020-4-3	115.29662554466664	357.1664125416048
2020-4-4	115.29662554466664	357.1664125416048
2020-4-5	115.29662554466664	357.1664125416048
2020-4-6	None	None
2020-4-7	217.7799451594498	488.9915397016539
2020-4-8	None	None
2020-4-9	330.7641611598363	577.8859862200023
2020-4-10	None	None
2020-4-11	None	None
2020-4-12	None	None
2020-4-13	None	None
2020-4-14	None	None
2020-4-15	None	None
2020-4-16	None	None
2020-4-17	206.48611123555094	432.8939820481619
2020-4-18	206.48611123555094	432.8939820481619
2020-4-19	206.48611123555094	432.8939820481619
2020-4-20	206.48611123555094	432.8939820481619
2020-4-21	None	None
2020-4-22	170.7583193692528	396.8882723153538
2020-4-23	186.2258020001925	380.56490311179886
2020-4-24	None	None
2020-4-25	None	None
2020-4-26	None	None
2020-4-27	172.34804233113476	None
2020-4-28	149.278650244554	355.31791662309047
2020-4-29	131.17650004198572	None
2020-4-30	None	None
2020-5-1	None	None
2020-5-2	None	None
2020-5-3	138.1297176988585	None
2020-5-4	None	None
2020-5-5	None	None
2020-5-6	46.626126924487906	57.722415191250555
2020-5-7	46.626126924487906	57.722415191250555
2020-5-8	46.626126924487906	57.722415191250555
2020-5-9	46.626126924487906	57.722415191250555
2020-5-10	None	None
2020-5-11	43.0059483388168	None
2020-5-12	None	None
2020-5-13	None	None
2020-5-14	None	None
2020-5-15	None	None
2020-5-16	None	None
2020-5-17	None	None
2020-5-18	None	None
2020-5-19	None	None
2020-5-20	None	None
2020-5-21	None	None
2020-5-22	None	None
2020-5-23	139.07147437769322	89.09009098992556
2020-5-24	120.73559229715204	77.87048646319026
2020-5-25	106.99834017689824	68.82530874820092
2020-5-26	105.26310010756471	62.33817345156257
2020-5-27	115.12256357116426	64.714462887852
2020-5-28	107.26757773314701	63.05067559127798
2020-5-29	72.70686058042047	50.129184295093864
2020-5-30	71.12324539064403	47.5296076185614
2020-5-31	71.12324539064403	44.90871471162173
2020-6-1	73.36327265174843	47.65929558120428
2020-6-2	80.99962002358826	55.52274815577717
2020-6-3	63.28244368301257	49.362837480260346
2020-6-4	62.72553341950601	48.63106399549021
2020-6-5	66.90929523471408	47.94571989571986
2020-6-6	56.0055018697171	47.66280050180345
2020-6-7	47.24046277647947	45.56498969816747
2020-6-8	40.091399263559154	38.66239513565607
2020-6-9	33.21740720396717	41.90711230412117
2020-6-10	37.03825147195912	45.207345880686475
2020-6-11	36.19470709816358	55.470195813439105
2020-6-12	36.311093598735695	60.00476119179957
2020-6-13	44.34645597431134	72.91731442274221
2020-6-14	46.9910135350867	86.04820499198283
2020-6-15	49.60884701922022	120.17645818869426
2020-6-16	50.633436720510375	113.41756607139087
2020-6-17	41.61506688678841	86.08339694673433
2020-6-18	36.50917542450458	63.20796560522873
2020-6-19	29.853770624007787	55.81997864805559
2020-6-20	22.89123722696743	40.16991535730689
2020-6-21	21.336098423626012	37.74950523932502
2020-6-22	19.98042260252844	30.30586068818768
2020-6-23	16.54246417751521	22.906042812209304
2020-6-24	13.670171868239812	21.926005028712606
2020-6-25	12.59149197085754	20.95445118129147
2020-6-26	12.23565344436511	17.118857791700556
2020-6-27	13.16193816952378	15.72171765712424
2020-6-28	11.390899833687877	14.920957777880874
2020-6-29	11.098043591140048	14.932223971856617
2020-6-30	10.651187633404401	14.932223971856617
2020-7-1	12.461152604794082	17.208693132566484
2020-7-2	16.009626162940418	18.73461400355645
2020-7-3	17.94412394550143	22.762869181599555
2020-7-4	19.437570503196696	22.762869181599555
2020-7-5	20.34227447774679	21.561684217243183
2020-7-6	19.875428445980635	24.235520238044785
2020-7-7	21.944252126981414	26.10396603674673
2020-7-8	21.72902922016544	26.499841728166764
2020-7-9	19.78688942770759	25.30566480087367
2020-7-10	17.65372907739266	24.671414124494788
2020-7-11	16.727396167430587	25.8862700151136
2020-7-12	19.016846321313356	31.007842211126334
2020-7-13	20.0939721073754	30.740453377612887
2020-7-14	19.128071121152264	30.10945372437932
2020-7-15	21.803175499486066	30.10945372437932
2020-7-16	21.309426455941782	30.868826588333903
2020-7-17	24.211743872455784	31.662399832408084
2020-7-18	26.22682945991258	32.64332642638617
2020-7-19	25.632903498928773	27.541662452532023
2020-7-20	26.432835763452008	25.753137925964275
2020-7-21	25.14977416638165	23.528115619259157
2020-7-22	25.14977416638165	23.29735863532654
2020-7-23	23.659991193695287	23.021494717356266
2020-7-24	24.23142526886192	23.967357076754766
2020-7-25	22.369652541149872	25.578718966725965
