Sample Date	Southern	Northern	Southern 7 day avg	Northern 7 day avg
2022-12-05	1028	685	1021	917
2022-12-06	1015	1327	1021	920
2022-12-07	1131	1094	980	923
2022-12-08	1187	1531	1002	999
2022-12-09	1084	1370	1068	1067
2022-12-10	1791	1576	1152	1169
2022-12-11	1843	792	1259	1147
2022-12-12	1652	834	1347	1179
2022-12-13	1170	1108	1375	1149
2022-12-14	1032	1033	1357	1140
2022-12-15	1055	1123	1335	1090
2022-12-16	1307	1012	1371	1044
2022-12-17	1663	789	1356	946
2022-12-18	1480	1701	1314	1055
2022-12-19	1698	1476	1319	1145
2022-12-20	1241	1359	1331	1179
2022-12-21	1793	1593	1440	1254
2022-12-22	2430	1891	1622	1351
2022-12-23	1332	2551	1626	1542
2022-12-24	1036	1386	1520	1671
2022-12-25	2124	1597	1601	1656
2022-12-26	1526	2377	1576	1772
2022-12-27	2898	2423	1779	1925
2022-12-28	1524	1630	1739	1931
2022-12-29	1765	2003	1661	1947
2022-12-30	1537	1833	1695	1857
2022-12-31	1591	2330	1803	2000
2023-01-01	1976	1727	1784	2023
2023-01-02	1817	1499	1829	1894
2023-01-03	1807	1477	1710	1765
